field	filter	public_value	code	swedish	english	synonyms	ices_biology	ices_physical_and_chemical	bodc_nerc	darwincore	comments	source	edmo	ices	nerc_name	nerc_id
sediment_deposition_code		3	3	Måttlig sedimentpålagring	Moderate sediment cover							translate_DEPOS				
sediment_deposition_code		4	4	Kraftig sedimentpålagring	Substantial sediment cover							translate_DEPOS				
sediment_deposition_code		H	H	Heavy coverage (>70% coverage), motsvarar 4: Kraftig sedimentpålagring i Undersökningstyp: Vegetationsklädda bottnar, ostkust (+++)	Heavy coverage (>70% coverage)							translate_DEPOS				
sediment_deposition_code		L	L	Little coverage (<30% coverage), motsvarar 2: Lite i Undersökningstyp: Vegetationsklädda bottnar, ostkust (+)	Little coverage (<30% coverage)							translate_DEPOS				
sediment_deposition_code		M	M	Moderate coverage (ca. 30-70% coverage), motsvarar 3: Mera i Undersökningstyp: Vegetationsklädda bottnar, ostkust (++)	Moderate coverage (ca. 30-70% coverage)							translate_DEPOS				
sediment_deposition_code		N	N	No deposits,motsvarar 1: Ingen sedimentationspålagring i Undersökningstyp: Vegetationsklädda bottnar, ostkust	No deposits							translate_DEPOS				
delivery_datatype		Bacterioplankton	BACTPL	Bakterieplankton	Bacterioplankton							translate_DTYPE				
delivery_datatype		Chlorophyll	CHLA	Klorofyllhalt 	Chlorophyll							translate_DTYPE				
delivery_datatype		Grey seal	GSEAL	Gråsäl 	Grey seal							translate_DTYPE				
delivery_datatype		Harbour seal	HSEAL	Knubbsäl 	Harbour seal							translate_DTYPE				
delivery_datatype		Jellyfish	JELLYF	Geléplankton	Jellyfish							translate_DTYPE				
delivery_datatype		Physical and Chemical	PHYCHE	Fysikalisk och kemisk data	Physical and chemical							translate_DTYPE				
delivery_datatype		Epibenthos	EB	Vegetationsklädda bottnar	Epibenthos							translate_DTYPE				
delivery_datatype		Phytoplankton	PP	Växtplankton	Phytoplankton							translate_DTYPE				
delivery_datatype		PlanktonBarcoding	PBARCOD	Plankton DNA streckkodning	PlanktonBarcoding							translate_DTYPE				
delivery_datatype		Picoplankton	PICOP	Picoplankton	Picoplankton							translate_DTYPE				
delivery_datatype		Primary production	PRIMPROD	Primärproduktion	Primary production							translate_DTYPE				
delivery_datatype		Profile	PROFILE	Högupplöst profildata	High resolution profile data							translate_DTYPE				
delivery_datatype		Ringed seal	RSEAL	Vikaresäl	Ringed seal							translate_DTYPE				
delivery_datatype		Seal pathology	SEALPAT	Sälpatologi 	Seal pathology							translate_DTYPE				
delivery_datatype		Sedimentation	SED	Sedimentation	Sedimentation							translate_DTYPE				
delivery_datatype		Zoobenthos	ZB	Mjukbottenfauna	Zoobenthos							translate_DTYPE				
delivery_datatype		Zooplankton	ZP	Djurplankton	Zooplankton							translate_DTYPE				
delivery_datatype		Harbour Porpoise	HARPOR	Tumlare	Harbour porpoise							translate_DTYPE				
station_exposure	delivery_datatype=Epibenthos	Ultra sheltered	Ultra sheltered	Ultraskyddat	Ultra sheltered							translate_EXPOS				
station_exposure	delivery_datatype=Epibenthos	Extremely sheltered	Extremely sheltered	Extremt skyddat	Extremely sheltered							translate_EXPOS				
station_exposure	delivery_datatype=Epibenthos	Very sheltered	Very sheltered	Mycket skyddat	Very sheltered							translate_EXPOS				
station_exposure	delivery_datatype=Epibenthos	Sheltered	Sheltered	Skyddat	Sheltered							translate_EXPOS				
station_exposure	delivery_datatype=Epibenthos	Moderately exposed	Moderately exposed	Måttligt exponerat	Moderately exposed							translate_EXPOS				
station_exposure	delivery_datatype=Epibenthos	Exposed	Exposed	Exponerat	Exposed							translate_EXPOS				
station_exposure	delivery_datatype=Epibenthos	Very exposed	Very exposed	Mycket exponerat	Very exposed							translate_EXPOS				
finding_circumstances	delivery_datatype=Seal pathology	FD	FD	Funnen död	Found dead							translate_FCST				
finding_circumstances	delivery_datatype=Seal pathology	FG	FG	Fiskeredskap	Fishing gear							translate_FCST				
finding_circumstances	delivery_datatype=Seal pathology	FO	FO	Funnen övrigt	Found other							translate_FCST				
finding_circumstances	delivery_datatype=Seal pathology	LH	LH	Legal jakt	Legal hunt							translate_FCST				
fauna_flora_found		N	N	Nej	No	NO<or>no<or>No<or>nej<or>Nej<or>NEJ<or>n<or>0						translate_FNFLA				
fauna_flora_found		Y	Y	Ja	Yes	YES<or>yes<or>Yes<or>ja<or>Ja<or>JA<or>j<or>J<or>y<or>1						translate_FNFLA				
#value	parameter=H2S smell	N	N	Nej	No							translate_HSUL_SMELL				
#value	parameter=H2S smell	Y	Y	Ja	Yes							translate_HSUL_SMELL				
ice_observation_code		0	0	Ingen is.	No ice.							translate_ICEOB				
ice_observation_code		1	1	Is förekommer i närheten, men ej identifierad till typ och mängd.	Existing ice, but not identified to type or amount.							translate_ICEOB				
ice_observation_code		2	2	Få isberg, mindre än 10.	Few icebergs, less than 10. 							translate_ICEOB				
ice_observation_code		3	3	Många isberg, mer än 10.	Many icebergs, more than 10. 							translate_ICEOB				
ice_observation_code		4	4	Väldigt öppen eller öppen packis (6/10 täckning eller mindre) mer än 1 nautisk mil från hydrografisk station	Very open or open packice (6/10 cover or less) more than 1 nautical mile frome hydrografic station							translate_ICEOB				
ice_observation_code		5	5	Stängd eller väldigt stängd packis (mer än 6/10 täckning) mer än 1 nautisk mil från hydrogafisk station	Closed or very closed packice (more than 6/10 cover) more than 1 nautical mile frome hydrografic station							translate_ICEOB				
ice_observation_code		6	6	Väldigt öppen eller öppen packis (6/10 täckning eller mindre); hydrografisk observation i packis eller mindre än 1 nautisk mil bort från packis. 	Very open or open packice (6/10 cover or less) less than 1 nautical mile frome hydrografic station							translate_ICEOB				
ice_observation_code		7	7	Stängd eller väldigt stängd packis (mer än 6/10 täckning); hydrografisk observation i packis eller mindre än 1 nautisk mil bort från packis. 	Closed or very closed packice (more than 6/10 cover) less than 1 nautical mile frome hydrografic station							translate_ICEOB				
ice_observation_code		8	8	Hydrografisk observation i väldigt hög koncentration av packis, polaris eller fastis, etc. (Observationer utförda från isöar, drivande is, isomgärdad fartyg, fastis eller liknande förhållande.	Hydrografic observation in very high concentration of packice, polarice or thick ice (Observations done from islands of ice, drift ice, ship surrounded by ice or simmilar  situations.							translate_ICEOB				
ice_observation_code		9	9	Inga observationer av is (P.g.a begränsad sikt eller is ej ingår som observerad parameter eller annan orsak) 	No observations of ice (because of limited visability or that ice is not a parameter for observation)							translate_ICEOB				
laboratory		AB Svensk Laboratoriet	SLKS	AB Svensk Laboratoriet	AB Svensk Laboratoriet							translate_LABO				
laboratory		ABB	ABB	ABB	ABB							translate_LABO				
laboratory		Airicole AB	AIRI	Airicole AB	Airicole AB							translate_LABO				
laboratory		Akvaplan-NIVA A/S	APNN	Akvaplan-NIVA A/S	Akvaplan NIVA group							translate_LABO				
laboratory		Alcontrol AB	ALCON	Alcontrol AB	Alcontrol laboratories	ALcontrol Söderhamn<or>ALcontrol Uddevalla<or>Alcontrol AB Umeå Sweden<or>Alcontrol<or>Alcontrol AB Linköping Sweden Alcontrol AB Sweden<or>ALCON<or>ALcontrol AB<or>ALUS<or>ALSH<or>ALLS<or>						translate_LABO	3983.0			
laboratory		Alleco Oy	ALLECO	Alleco Oy	ALLECO Oy (Finland)							translate_LABO				
laboratory		ALS Scandinavia	ALSSCA	ALS Scandinavia	ALS Scandinavia							translate_LABO	3982.0			
laboratory		Analycen AB	ANALYC	Analycen AB	Analycen AB	Analycen Göteborg<or>Analycen Lidköping						translate_LABO	4446.0			
laboratory		ANSAB	ANBF	ANSAB	ANSAB							translate_LABO				
laboratory		Aquaanalys	AQUAAN	Aquaanalys	Aquaanalys							translate_LABO				
laboratory		AquaBiota	AQBI	AquaBiota	AquaBiota Water Research							translate_LABO				
laboratory		Aquatic Systems Group	ASUK	Aquatic Systems Group	Aquatic Systems Group							translate_LABO				
laboratory		Artdatabanken	ADB	Artdatabanken	Swedish Species Information Centre							translate_LABO				
laboratory		BalticSea2020	BALSEA2020	BalticSea2020	BalticSea2020	Baltic Sea 2020 Kungliga vetenskapsakademien						translate_LABO	4782.0			
laboratory		Barsebäck Kraft AB	BARSE	Barsebäck Kraft AB	Barsebäck Kraft AB							translate_LABO				
laboratory		BillerudKorsnäs Karlsborg	BILKBG	BillerudKorsnäs Karlsborg	BillerudKorsnas Karlsborg	Billerud Kosrsnäs Karlsborg AB<or>Billerud Korsnäs Karlsborg AB<or>BillerudKorsnäs Karlsborgsverken<or>Billerud Karlsborg AB<or>BillerudKorsnäs AB						translate_LABO	4915.0			
laboratory		Blekingekustens vattenvårdsförbund	BKVF	Blekingekustens vattenvårdsförbund	Blekingekusten Coalition of Water Conservation	Blekingekustens VVF<or>Blekingekustens Vattenvårdsförbund<or>Blekingekustens vvf<or>Blekinge kustvatten- och luftvårdsförbund<or>Blekinge Kustvatten och Luftvårdsförbund						translate_LABO	4780.0			
laboratory		Bohuskustens vattenvårdsförbund	BVVF	Bohuskustens vattenvårdsförbund	Bohuskusten Coalition of Water Conservation	Bohuskustens Vattenvårdsförbund<or>Bohuskustens vattenvårds förbund<or>Västkusten vattenvårds förbund<or>Bohusläns vattenvårdsförbund<or>BOS<or>REG Bohuskustens KKP SRK						translate_LABO	4777.0			
laboratory		Boliden Group	BOLIDEN	Boliden Group	Boliden Group	Boliden<or>Boliden Mineral<or>Boliden Mineral AB						translate_LABO				
laboratory		BONUS EU-projekt	BON	BONUS EU-projekt	BONUS EU-project							translate_LABO				
laboratory		Borgholms kommun	BHMKOM	Borgholms kommun	Borgholm Municipality							translate_LABO				
laboratory		Calluna AB	CALLUN	Calluna AB	Calluna AB	CALLUNA AB<or>Calluna<or>CALLUNA						translate_LABO	4619.0			
laboratory		Castor & Pollux	CASPOL	Castor & Pollux	Castor & Pollux							translate_LABO				
laboratory		Dalälvens vattenvårdsförbund	DVVF	Dalälvens vattenvårdsförbund	Dalälven Coalition of Water Conservation							translate_LABO	4861.0			
laboratory		Danish Centre for Environment and Energy	DMU	Danish Centre for Environment and Energy	Danish Centre for Environment and Energy	Danmarks Miljøundersøgelser						translate_LABO				
laboratory		Dannes Firma	DANNF	Dannes Firma	Dannes Firma	Dannes Firma (Dan Evander)<or>Dannes firma (Dan Evander)						translate_LABO				
laboratory		Danska Hydrauliska Institutet	DHI	Danska Hydrauliska Institutet	Danish hydraulic institute	VKID<or>DHI Water and Environment						translate_LABO				
laboratory		Domsjö fabriker AB	DOMFAB	Domsjö fabriker AB	Domsjö fabriker AB	Domsjö fabriker						translate_LABO				
laboratory		Edsviken vattensamverkan	EDSVVS	Edsviken vattensamverkan	Edsviken watercollaboration	EDVIK						translate_LABO	4786.0			
laboratory		Ekologigruppen AB	EKOGRP	Ekologigruppen AB	Ekologigruppen AB							translate_LABO				
laboratory		Envix Nord AB	ENVIX	Envix Nord AB	Envix Nord AB							translate_LABO				
laboratory		Estlands Marina Institut	IMRE	Estlands Marina Institut	Estonian Marine Institute							translate_LABO				
laboratory		EU-kommissionen Horizon 2020	EUKOM	EU-kommissionen Horizon 2020	European Commission Horizon 2020							translate_LABO				
laboratory		Eurofins Ahma Rovaniemi	EFAR	Eurofins Ahma Rovaniemi	Eurofins Ahma Rovaniemi							translate_LABO				
laboratory		Eurofins Danmark A/S	EFDK	Eurofins Danmark A/S	Eurofins Denmark A/S	Eurofins Danmark A/S Albertslund						translate_LABO				
laboratory		Eurofins Environment Sweden AB	EFSW	Eurofins Environment Sweden AB	Eurofins Environment Sweden AB	Eurofins Lidköping<or>Eurofins Stockholm<or>EULD<or>EUSHOLM<or>Eurofins						translate_LABO	5633.0			
laboratory		Eurofins-Pelagia	EUPE	Eurofins-Pelagia	Eurofins-Pelagia							translate_LABO				
laboratory		Europeiska havs- och fiskerifonden	EHFF	Europeiska havs- och fiskerifonden	European Maritime and Fisheries Fund							translate_LABO				
laboratory		Europeiska kommisionen LIFE programmet	LIFE	Europeiska kommisionen LIFE programmet	European comission LIFE programme	EU-kommissionen						translate_LABO				
laboratory		Falma Provtagning	FALMA	Falma Provtagning	Falma Sampling							translate_LABO				
laboratory		Finlands miljöcentral	SYKE	Finlands miljöcentral	Finnish Environment Institute	Finska Miljöinstitutet<or>FEIF						translate_LABO	1104.0			
laboratory		Fiskeriverket	FIV	Fiskeriverket	Swedish National Board of Fisheries	National Board of Fisheries<or>HRFS Swedish National Board of Fisheries<or>IMRS<or>Fiskeriverket Sverige						translate_LABO	1354.0			
laboratory		Fiskeriverket Havsfiskelaboratoriet	FIVHL	Fiskeriverket Havsfiskelaboratoriet	Swedish National Board of Fisheries							translate_LABO				
laboratory		Fiskeriverket Kustfiskelaboratoriet	FIVKL	Fiskeriverket Kustfiskelaboratoriet	Swedish National Board of Fisheries							translate_LABO	180.0			
laboratory		FITO-Lab	SFIP	FITO-Lab	FITO-Lab	FOLB<or>FITO						translate_LABO				
laboratory		FORMAS	FORMAS	FORMAS	FORMAS							translate_LABO				
laboratory		Forsmarks kraftgrupp AB	FORS	Forsmarks kraftgrupp AB	Forsmarks kraftgrupp AB							translate_LABO				
laboratory		Föreningen Nenningesund	NENNINGE	Föreningen Nenningesund	Nenningesund association							translate_LABO	5000.0			
laboratory		Gryaab AB	GRYAAB	Gryaab AB	Gryaab AB							translate_LABO				
laboratory		Gästrike Vatten AB	GASTVAAB	Gästrike Vatten AB	Gästrike Vatten AB							translate_LABO				
laboratory		Gästriklands vattenvårdsförbund	GVVF	Gästriklands vattenvårdsförbund	Gästrikland Coalition of Water Conservation	Gästriklands vattenvårdsförening						translate_LABO	4866.0			
laboratory		Göteborgs Stad	GBGKOM	Göteborgs Stad	Gothenburg Municipality	Göteborg kommun<or>Göteborgs kommun<or>Göteborgs stad miljöförvaltningen						translate_LABO				
laboratory		Göteborgs universitet	GU	Göteborgs universitet	University of Gothenburg	IAMK<or>Göteborg Universitet<or>Göteborg University Maringeologiska institutet<or>GUMI						translate_LABO	3984.0			
laboratory		Hafok AB	HAFOK	Hafok AB	Hafok AB	hafok<or>Hafok						translate_LABO				
laboratory		Halmstad hamn AB	HALHAM	Halmstad hamn AB	Halmstad hamn AB	Halmnstad hamn AB<or>Halmstad hamn						translate_LABO				
laboratory		Haninge kommun	HANKOM	Haninge kommun	Haninge Municipality							translate_LABO	4785.0			
laboratory		Havs- och vattenmyndigheten	HAV	Havs- och vattenmyndigheten	Swedish Agency for Marine and Water Management	Havs och vattenmyndigheten<or>Havs och Vattenmyndigheten<or>Havs- och Vattenmyndigheten<or>havs och Vattenmyndigheten<or>HaV<or> Hav_extra<or> Hav- och vattenmyndigheten<or>SWAM<or>Hav och Vattenmyndigheten<or>SAMWM<or>Hav						translate_LABO	3512.0			
laboratory		Havsforskningsinstitutet Finland	IMRF	Havsforskningsinstitutet Finland	Finnish Institute of Marine Research	Finska institutet för Marina vetenskaper						translate_LABO				
laboratory		Helsingsborgs miljöförvaltning	HBGMILJO	Helsingsborgs miljöförvaltning	Helsingborg environmental management	Helsingsborg miljökontor<or>Helsingborgs miljöförvaltning<or>Miljönämnden i Helsingborg						translate_LABO				
laboratory		Hillevik marina fältstation	HILMAR	Hillevik marina fältstation	Hillevik Marine Field Station	Hillevik Marina Fältstation						translate_LABO				
laboratory		Holmen Paper	HOLMPAP	Holmen Paper	Holmen Paper	Holmen Paper AB Hallsta Pappersbruk<or>Holmen Paper AB						translate_LABO	4916.0			
laboratory		Hushållningssällskapet	HUSH	Hushållningssällskapet	Swedish Rural Economy and Agricultural Societies 	Hushållningssällskapet Rådgivning Nord<or> HUSHRN						translate_LABO	5735.0			
laboratory		Hydroconsult AB	HYDCON	Hydroconsult AB	Hydroconsult AB							translate_LABO				
laboratory		HydroGIS AB	HYD	HydroGIS AB	HydroGIS AB							translate_LABO	4623.0			
laboratory		Höga kusten Limnologkonsult	HKLIM	Höga kusten Limnologkonsult	High coast Limnologist consultant							translate_LABO				
laboratory		Höganäs kommun	HOGKOM	Höganäs kommun	Höganäs Municipality							translate_LABO				
laboratory		Intresseföreningen för Nordöstra Hälsinglands SRK	IFNHR	Intresseföreningen för Nordöstra Hälsinglands SRK	Committee of North Eastern Hälsingland Coordinated Recipient Monitoring	Intresseföreningen för Nord Östra Hälsinglands samordnade recipientkontroll<or>Gruppen för samordnad recipientkontroll i NÖ Hälsingland<or>Intresseföreningen för Nordöstra Hälsinglands samordnade recipientkontroll						translate_LABO	4789.0			
laboratory		IVL Svenska Miljöinstitutet 	SERI	IVL Svenska Miljöinstitutet 	Swedish Environmental Research Institute	Swedish Environmental Research Institute						translate_LABO	625.0			
laboratory		JP Aquakonsult KB	JPAQUA	JP Aquakonsult KB	JP Aquakonsult KB							translate_LABO				
laboratory		JP Sedimentkonsult HB	JPSED	JP Sedimentkonsult HB	JP Sedimentkonsult HB							translate_LABO				
laboratory		Kalix kommun	KLXKOM	Kalix kommun	Kalix Municipality							translate_LABO				
laboratory		Kalmar kommun	KALKOM	Kalmar kommun	Kalmar Municipality							translate_LABO				
laboratory		Kalmar läns kustvattenkommitté	KLKK	Kalmar läns kustvattenkommitté	Coastal Committee of Kalmar County	Kalmar läns kustvattenkommitte<or>Kalmar Läns kustvattenkommitté						translate_LABO	4779.0			
laboratory		Kalvö Ostron	KALOS	Kalvö Ostron	Kalvö Oyster							translate_LABO				
laboratory		Karlshamns hamn AB	KARHAM	Karlshamns hamn AB	Karlshamns Port AB							translate_LABO				
laboratory		Karlskrona kommun	KARKOM	Karlskrona kommun	Karlskrona Municipality							translate_LABO				
laboratory		Kiviks Musteri	KIVI	Kiviks Musteri	Kiviks Musteri							translate_LABO				
laboratory		KM Lab AB	KMLB	KM Lab AB	KM Lab AB							translate_LABO				
laboratory		Kolmården	KOLM	Kolmården	Kolmården							translate_LABO				
laboratory		Kristianstads kommun	KRIKOM	Kristianstads kommun	Kristianstads Municipality	Kristianstad kommun						translate_LABO				
laboratory		Kristineberg marina forskningsstation	KMRS	Kristineberg marina forskningsstation	Kristineberg marine research station							translate_LABO				
laboratory		Kungliga Vetenskapsakademin	KVA	Kungliga Vetenskapsakademin	The Royal Swedish Academy of Sciense	Kungliga vetenskapsakademien						translate_LABO	4782.0			
laboratory		Kungsbacka kommun	KUNGKOM	Kungsbacka kommun	Kungsbacka Municipality							translate_LABO				
laboratory		Kustfilm Nord AB	KUFI	Kustfilm Nord AB	Kustfilm Nord AB							translate_LABO				
laboratory		Lapland Regional Environment Centre	LAPF	Lapland Regional Environment Centre	Lapland Regional Environment Centre							translate_LABO				
laboratory		LeCa Marin	LECA	LeCa Marin	LeCa Marin							translate_LABO				
laboratory		Lidingö Stad	LIDINGO	Lidingö Stad	Lidingö Municipality	Lidingö stad Miljö- och stadsbyggnadskontoret						translate_LABO				
laboratory		Linnéuniversitetet	LNU	Linnéuniversitetet	Linnaeus University	Linneuniversitetet<or>UCKS<or>Kalmar Universitet						translate_LABO	4812.0			
laboratory		Litoralis Natur AB	LITORALIS	Litoralis Natur AB	Litoralis Nature AB	Litoralis<or>ESJE						translate_LABO				
laboratory		Livsmedelsverket	SLV	Livsmedelsverket	National Food Agency	Svenska Livsmedelsverket						translate_LABO				
laboratory		Ljunggren Fiske & Vattenvård AB	LJUNGGREN	Ljunggren Fiske & Vattenvård AB	Ljunggren Fiske & Vattenvård AB	Ljunggren Fiske & Vattenvård AB 						translate_LABO				
laboratory		Ljusnan-Voxnans vattenvårdsförbund	LVVVF	Ljusnan-Voxnans vattenvårdsförbund	Ljusnan-Voxnan Coalition of Water Conservation	LVVF<or>Ljusnan-Voxnans Vattenvårdsförbund<or>Ljusnan Voxnan						translate_LABO	4864.0			
laboratory		Ljusterö vatten och fiskevårdsförening	LVFVF	Ljusterö vatten och fiskevårdsförening	Ljusterö Water and Fish Conservation Association							translate_LABO	4917.0			
laboratory		Lunds Universitet	LUUN	Lunds Universitet	Lund University							translate_LABO				
laboratory		LV-lab	LVLAB	LV-lab	LV-lab							translate_LABO				
laboratory		Lysekils Ostron och Musslor	LYOSMU	Lysekils Ostron och Musslor	Lysekils Oysters and Mussels							translate_LABO				
laboratory		Länsstyrelsen Blekinge	KLST	Länsstyrelsen Blekinge	County Administrative Board of Blekinge	Länsstyrelsen i Blekinge län<or>Länsstyrelsen i Blekinge<or>Länsstyresen i Blekinge						translate_LABO	1854.0			
laboratory		Länsstyrelsen Gotland	ILST	Länsstyrelsen Gotland	County Administrative Board of Gotland	Länsstyrelsen i Gotlands län<or>Länsstyrelsen i Gotland						translate_LABO	4865.0			
laboratory		Länsstyrelsen Gävleborg	XLST	Länsstyrelsen Gävleborg	County Administrative Board of Gävleborg	Länsstyrelsen i Gävleborgs län<or>Länsstyrelsen i Gävleborg<or>LST Gävleborg<or> Länsstyrelsen Gävleborgs län						translate_LABO	3466.0			
laboratory		Länsstyrelsen Halland	NLST	Länsstyrelsen Halland	County Administrative Board of Halland	Länsstyrelsen i Hallands län<or>Länsstyrelsen i Halland<or>länsstyrelsen i Halland<or>Nlst<or>Hallands kustkontroll<or>nlst<or>Länsstyrelsen i halland<or>N lst<or>n lst						translate_LABO	627.0			
laboratory		Länsstyrelsen Kalmar	HLST	Länsstyrelsen Kalmar	County Administrative Board of Kalmar	Länsstyrelsen i Kalmar län<or>Länsstyrelsen H län<or>Länsstyrelsen i Kalmar<or>Länsstyrelsen Kalmar län						translate_LABO	1853.0			
laboratory		Länsstyrelsen Norrbotten	BDLST	Länsstyrelsen Norrbotten	County Administrative Board of Norrbotten	Länsstyrelsen i Norrbottens län<or>BDLAN<or>Länsstyrelsen i Norrbotten<or>LST Norrbotten						translate_LABO	3464.0			
laboratory		Länsstyrelsen ospecificerad	LST	Länsstyrelsen ospecificerad	County Administrative Board unspecified							translate_LABO				
laboratory		Länsstyrelsen Skåne	MLST	Länsstyrelsen Skåne	County Administrative Board of Skåne	Länsstyrelsen i Skåne<or>Lst Skåne<or>Lst  Skåne<or>Länsstyrelsen i Skåne län<or>Lst I Skåne län<or>Länsstyrelsen skåne						translate_LABO	626.0			
laboratory		Länsstyrelsen Stockholm	ABLST	Länsstyrelsen Stockholm	County Administrative Board of Stockholm	Länsstyrelsen i Stockholms län<or>Länsstyrelsen i Stockholm<or>Länstyrelsen i Stockholm<or>Stockholms län						translate_LABO	3468.0			
laboratory		Länsstyrelsen Stockholm	BLST	Länsstyrelsen Stockholm	County Administrative Board of Stockholm							translate_LABO	3468.0			
laboratory		Länsstyrelsen Södermanland	DLST	Länsstyrelsen Södermanland	County Administrative Board of Södermanland	Länsstyrelsen i Södermanlands län<or>Länsstyrelsen i Södermanland<or>Länsstyrelsen Södermanlands län						translate_LABO	4776.0			
laboratory		Länsstyrelsen Uppsala	CLST	Länsstyrelsen Uppsala	County Administrative Board of Uppsala	Länsstyrelsen i Uppsala län<or>Länsstyrelsen i Uppsala<or>Länsstyrelsen Uppsala län<or>LST Uppsala län<or>LST Uppsala						translate_LABO	3470.0			
laboratory		Länsstyrelsen Västerbotten	ACLST	Länsstyrelsen Västerbotten	County Administrative Board of Västerbotten	Länsstyrelsen i Västerbottens län<or>ACLAN<or>Länsstyrelsen i Västerbotten<or> LST Västerbotten<or>Lst Västerbotten						translate_LABO	4860.0			
laboratory		Länsstyrelsen Västernorrland	YLST	Länsstyrelsen Västernorrland	County Administrative Board of Västernorrland	Länsstyrelsen i Västernorrlands län<or>Nedre Ångermanälvens SRK<or>Y-LAN<or>Länsstyrelsen i Västernorrland<or>LST Västernorrland<or>Lst Västernorrland<or>Ylst<or>ylst						translate_LABO	3465.0			
laboratory		Länsstyrelsen Västra Götaland	OLST	Länsstyrelsen Västra Götaland	County Administrative Board of Västra Götaland	Länsstyrelsen i Västra Götalands län<or>Länsstyrelsen i Västra Götaland<or>Länstyrelsen Västra götaland<or>Länstyrelsen Västra Götland<or> Länsstyrelsen Göteborg och Bohuslän<or>Lst_O_Kampanj<or>Lst_O_Koster <or>Lst_O_RMÖ<or>LST_O<or>Koster nationalpark (Lst_O)<or>Koster nationalpark, Lst_O<or>Länstyrelsen Västra Götaland<or>Lst_O						translate_LABO	4768.0			
